FacilityName,FacilityId,City,State,ZipCode,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Sectors_Industry_Type,Total reported direct emissions,CO2 emissions (non-biogenic),Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,HFC emissions,PFC emissions,SF6 emissions,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring?,Column,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Total reported emissions from Onshore Oil & Gas Production,State where Emissions Occur,Total reported direct emissions from Local Distribution Companies,Total reported direct emissions from Electrical Equipment Use,GHG Quantity Associated with Coal-based liquid fuel production,GHG Quantity Associated with Petroleum Products Produced,GHG Quantity Associated with Petroleum Products Imported,GHG Quantity Associated with Petroleum Products Exported,GHG Quantity Associated with Natural Gas Supply,GHG Quantity Associated with Natural Gas Liquids Supply,GHG Quantity Associated with CO2 Supply,Quantity of CO2 Received for Injection,D,Direct Emitter
121 REGIONAL DISPOSAL FACILITY,1004377,Melissa,TX,75454,3820 SAM RAYBURN HIGHWAY,Collin,33.9814,-96.53143,562212,HH,Waste,199011.75,,199011.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199011.75,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
15-18565/15-18662,1010040,Hazard,KY,40701,4200 S. Hwy 15,Perry,37.219099,-83.156046,212112,FF,Other,118204.5,,118204.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118204.5,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
15-19015,1010085,Hazard,KY,41701,1845 S. KY HWY 15,Perry,37.236617,-83.18126,212112,FF,Other,55872.5,,55872.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55872.5,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
23rd and 3rd,1000112,Brooklyn,NY,11232,730 3rd Avenue,Kings,40.663,-74,221112,"C,D",Power Plants,67399.252,67331.3,31,36.952,,,,,,,,,,132,67267.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
29-6 #2 Central Delivery Point,1006394,Blanco,NM,87412,,Rio Arriba,36.7452,-107.4455,213112,C,Petroleum and Natural Gas Systems,15391.592,15375.7,7.25,8.642,,,,,,,,,,15391.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
30-5 Central Delivery Point Compressor Station,1002885,Aztec,NM,87410,,Rio Arriba,36.8118,-107.4036,213112,C,Petroleum and Natural Gas Systems,22506.516,22483.5,10.5,12.516,,,,,,,,,,22506.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
31-6 Central Delivery Point,1002707,Bloomfield,NM,87413,,Rio Arriba,36.8363,-107.4199,213112,C,Petroleum and Natural Gas Systems,52646.752,52592.5,24.75,29.502,,,,,,,,,,52646.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
31st Street Landfill,1003742,Westchester,IL,60154,11700 W 31ST ST,Dupage,41.83491,-87.91633,562212,"C,HH",Wastes,92696.6,186.6,92510,,,,,,,,,,,186.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92510,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
32-7 Central Delivery Point,1002718,Blanco,NM,87412,,San Juan,36.9313,-107.5604,213112,C,Petroleum and Natural Gas Systems,33654.124,33619.6,15.75,18.774,,,,,,,,,,33654.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
32-8 #2 CDP COMPRESSOR STATION,1002721,Blanco,NM,87412,,San Juan,36.9569,-107.6631,213112,C,Petroleum and Natural Gas Systems,40868.396,40826.2,19.25,22.946,,,,,,,,,,40868.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
